Date,00 Live animals (excl. fish),01 Meat and meat preparations,02 Dairy products and birds’ eggs,03 Fish (excl. marine mammals),04 Cereals and cereal preparations,05 Vegetables and fruit,"06 Sugars, sugar preparations and honey","07 Coffee, tea, cocoa, spices",08 Feeding stuff for animals,09 Miscellaneous edible products
297,8,8,24,59,20,64,8,51,10,46
319,5,7,21,60,20,61,8,55,12,69
328,19,5,20,59,24,58,8,47,9,79
308,9,8,22,54,25,54,10,55,16,55
331,3,8,24,71,22,59,12,53,13,66
373,6,14,23,84,26,75,12,58,13,62
362,9,14,23,80,26,76,10,50,13,60
314,10,14,20,64,20,61,9,49,11,55
354,24,20,23,63,19,62,7,49,17,69
337,9,18,21,69,20,58,10,56,16,61
298,13,20,21,52,18,52,7,41,11,62
337,9,18,26,64,23,60,9,52,11,64
293,11,8,23,61,22,60,8,44,10,46
346,2,10,24,68,28,60,8,50,11,85
365,7,9,24,72,30,63,11,58,14,76
322,1,11,19,60,29,53,12,54,9,73
367,2,12,26,69,32,65,13,58,13,78
371,4,12,29,80,31,77,12,47,14,64
378,5,10,21,81,24,73,12,44,15,94
340,5,11,27,69,22,73,9,42,21,61
333,15,13,31,65,20,62,8,40,12,67
376,6,14,26,87,23,64,9,48,16,82
346,7,12,24,74,23,60,10,48,16,72
349,3,8,27,73,22,64,10,52,21,68
342,4,10,27,72,20,62,10,51,19,67
370,7,12,23,71,25,66,10,55,15,86
390,5,12,23,76,33,63,14,60,19,85
350,4,19,27,64,27,56,11,51,12,79
466,2,22,31,90,33,74,15,61,27,111
428,7,21,34,91,28,79,12,54,29,73
371,3,21,28,73,23,75,10,42,29,67
399,10,23,25,75,21,76,12,54,16,89
400,12,25,27,75,19,69,11,49,28,85
373,5,27,25,73,19,67,9,50,30,68
363,5,20,22,71,21,65,11,51,17,79
374,5,15,22,67,23,68,11,52,27,85
330,8,18,24,63,19,63,9,46,23,57
388,7,12,25,63,26,73,15,58,29,81
420,12,13,24,73,34,68,17,60,34,85
392,5,15,25,73,29,67,14,60,22,82
432,1,15,25,92,36,74,17,66,20,87
436,4,17,27,96,29,83,13,60,31,75
466,11,19,25,97,26,96,12,60,25,94
472,11,16,26,76,45,98,15,57,26,101
406,17,13,26,69,30,77,11,53,27,84
430,3,23,34,83,34,69,16,57,36,74
472,14,23,33,83,44,73,21,60,46,76
