,0,1,2,3,4,5,6,7,8,9
Apr-98,36,274,140,107,454,80,9,9,38,23
May-98,51,358,177,124,378,97,11,12,49,27
Jun-98,52,342,170,96,427,105,11,14,43,24
Jul-98,33,339,159,112,320,114,21,15,44,23
Aug-98,38,313,156,106,483,104,16,17,50,23
Sep-98,56,365,197,105,429,96,22,17,46,26
Oct-98,54,349,219,75,310,94,17,19,49,27
Nov-98,51,352,226,72,360,90,20,18,50,29
Dec-98,61,363,231,109,530,89,18,16,48,27
Jan-99,57,226,160,107,568,76,8,13,46,23
Feb-99,49,329,152,83,400,87,10,16,41,26
Mar-99,59,374,191,104,451,99,18,16,62,27
Apr-99,58,332,185,123,411,95,10,14,53,28
May-99,58,336,174,126,327,98,16,16,56,29
Jun-99,41,329,176,99,413,100,8,13,52,30
Jul-99,73,359,147,114,354,124,13,16,59,29
Aug-99,58,349,161,159,366,120,19,18,50,25
Sep-99,52,361,169,125,389,112,13,21,52,32
Oct-99,65,379,232,99,378,101,22,23,53,31
Nov-99,61,394,252,98,350,95,13,23,51,33
Dec-99,67,395,210,150,475,85,14,24,51,31
Jan-00,63,218,181,118,374,104,8,15,51,19
Feb-00,58,359,214,99,530,104,18,21,57,28
Mar-00,61,411,230,140,492,124,12,20,61,31
Apr-00,61,384,194,147,427,116,11,17,98,35
May-00,65,436,213,150,432,104,18,17,73,37
Jun-00,50,424,182,137,374,117,12,20,96,38
Jul-00,71,444,175,150,400,138,25,24,87,30
Aug-00,52,423,171,205,447,148,24,24,83,38
Sep-00,75,441,227,160,464,123,20,23,83,33
Oct-00,81,534,317,114,498,118,25,28,90,41
Nov-00,72,496,326,125,519,130,14,24,91,41
Dec-00,89,468,294,145,449,134,22,24,107,44
Jan-01,60,299,253,128,406,126,10,13,68,26
Feb-01,77,446,259,99,499,111,12,16,91,33
Mar-01,83,566,250,124,583,118,14,17,91,43
Apr-01,60,531,229,127,566,125,15,17,97,35
May-01,72,545,248,170,641,114,12,22,84,44
Jun-01,78,603,224,172,466,125,26,19,76,34
Jul-01,91,555,210,214,460,148,23,24,85,34
Aug-01,78,563,218,202,540,154,20,24,82,34
Sep-01,104,624,253,105,532,141,30,26,81,36
Oct-01,98,617,336,111,498,142,25,30,71,39
Nov-01,118,516,287,120,546,174,18,26,87,39
Dec-01,111,504,282,139,544,156,19,24,84,38
Jan-02,80,298,249,130,667,155,21,14,66,24
Feb-02,91,450,286,106,524,167,15,19,87,34
Mar-02,79,563,263,118,506,147,24,18,98,37
Apr-02,74,495,275,135,645,142,15,17,78,36
May-02,100,551,257,143,516,152,17,21,89,36
Jun-02,89,512,241,139,504,123,28,18,71,33
Jul-02,90,496,200,178,409,157,19,23,71,35
Aug-02,88,483,179,217,543,152,20,24,80,36
Sep-02,121,468,182,105,484,126,26,30,81,38
Oct-02,110,570,241,98,450,126,18,39,79,43
Nov-02,134,530,258,105,394,102,13,26,86,44
Dec-02,112,536,256,153,317,95,14,32,73,43
Jan-03,130,315,191,132,348,86,9,22,67,30
Feb-03,80,446,185,84,339,87,17,19,69,36
Mar-03,67,506,192,101,326,117,16,24,78,44
Apr-03,85,447,177,105,299,107,12,20,74,40
May-03,81,434,152,104,342,123,10,18,69,39
Jun-03,71,426,161,103,236,90,18,21,73,43
Jul-03,81,405,131,127,247,118,13,24,70,43
Aug-03,76,396,139,169,234,124,21,23,66,43
Sep-03,69,449,171,140,251,109,14,27,72,42
Oct-03,74,499,201,92,326,97,16,30,69,40
Nov-03,73,502,181,83,279,89,18,25,82,39
Dec-03,82,484,190,111,424,84,14,28,79,40
Jan-04,72,339,175,104,511,83,8,18,76,26
Feb-04,46,463,171,72,606,92,17,21,76,32
Mar-04,55,511,189,91,462,108,18,22,87,39
Apr-04,58,481,197,111,604,90,14,21,90,36
May-04,99,617,196,111,561,134,19,23,84,42
Jun-04,79,612,223,110,589,120,13,25,107,40
Jul-04,54,557,171,113,611,132,13,24,80,40
Aug-04,74,546,183,153,491,136,27,28,88,40
Sep-04,83,600,185,86,512,124,22,27,69,45
Oct-04,68,629,225,77,434,101,23,27,97,47
Nov-04,68,601,234,81,437,78,13,25,79,41
Dec-04,73,596,228,122,374,87,13,25,84,38
Jan-05,70,362,172,100,492,95,15,17,59,28
Feb-05,62,537,184,81,463,88,13,18,57,35
Mar-05,55,621,198,92,364,95,18,19,72,38
Apr-05,69,609,187,114,373,106,12,20,74,36
May-05,57,651,185,118,318,110,11,20,77,37
