Country,Export_US$_Thousand,Total
Peru,50828364.65,24227432525.89
Philippines,160694229.1,24227432525.89
Palau,135453.13,24227432525.89
Papua New Guinea,4385492.07,24227432525.89
Poland,347416542.2,24227432525.89
South Korea,286944.74,24227432525.89
Portugal,94093227.59,24227432525.89
Paraguay,11782055.93,24227432525.89
Palestine,1855939.72,24227432525.89
French Polynesia,2546415.42,24227432525.89
Qatar,39425790.64,24227432525.89
Romania,110204789.1,24227432525.89
Russia,369704970.1,24227432525.89
Rwanda,2578028.36,24227432525.89
Saudi Arabia,173994994.4,24227432525.89
Senegal,18305116.32,24227432525.89
Serbia,56388198.18,24227432525.89
Singapore,366827604.7,24227432525.89
South Georgia and the South Sa,574.31,24227432525.89
Saint Helena,58277.72,24227432525.89
Solomon Is.,485871.84,24227432525.89
Sierra Leone,1924181.1,24227432525.89
El Salvador,12861289.34,24227432525.89
San Marino,808959.29,24227432525.89
Somalia,5249637.4,24227432525.89
Special Categories,85490755.68,24227432525.89
Saint Pierre and Miquelon,123020.14,24227432525.89
S. Sudan,936088.77,24227432525.89
Sao Tome and Principe,211799.66,24227432525.89
Sudan,9597674.88,24227432525.89
Suriname,1818645.44,24227432525.89
Slovakia,93841001.82,24227432525.89
Slovenia,55272481.99,24227432525.89
Sweden,168148413.6,24227432525.89
eSwatini,1840828.18,24227432525.89
Saint Maarten (Dutch part),686994.65,24227432525.89
Seychelles,977788.85,24227432525.89
Syria,5505023.48,24227432525.89
Turks and Caicos Isl.,464860.8,24227432525.89
Chad,1320752.16,24227432525.89
Togo,15459931.56,24227432525.89
Thailand,254099887.4,24227432525.89
Tajikistan,5106637.56,24227432525.89
Tokelau,15860.75,24227432525.89
Turkmenistan,5251422.43,24227432525.89
Timor-Leste,835086.3,24227432525.89
Tonga,236483.74,24227432525.89
Trinidad and Tobago,6307026.16,24227432525.89
Tunisia,34481744.9,24227432525.89
Turkey,330886757.0,24227432525.89
Tuvalu,169502.57,24227432525.89
Tanzania,18365344.1,24227432525.89
Uganda,6524047.58,24227432525.89
Ukraine,99221760.72,24227432525.89
United States Minor Outlying I,64353.59,24227432525.89
Unspecified,700658405.0,24227432525.89
Uruguay,15304615.55,24227432525.89
United States of America,3291674759.0,24227432525.89
Uzbekistan,25792818.06,24227432525.89
Holy See,160258.68,24227432525.89
St. Vincent and the Grenadines,568836.9,24227432525.89
Venezuela,8045060.45,24227432525.89
British Virgin Islands,3791789.29,24227432525.89
Vietnam,357022783.5,24227432525.89
Vanuatu,404860.99,24227432525.89
Wallis and Futura Isl.,76888.03,24227432525.89
Samoa,424488.18,24227432525.89
Yemen,13578010.13,24227432525.89
South Africa,119580111.1,24227432525.89
Dem. Rep. Congo,11061690.72,24227432525.89
Zambia,7876466.9,24227432525.89
Zimbabwe,5566423.9,24227432525.89
